identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
afrr:2025-01-11:4-8:up,up,976,992,16.86,1.0,4.0,4.0,0.7669,51.719736
afrr:2025-01-11:8-12:up,up,992,1008,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-11:12-16:up,up,1008,1024,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-11:16-20:up,up,1024,1040,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-11:20-24:up,up,1040,1056,16.86,1.0,4.0,4.0,0.9815999999999999,66.19910399999999
afrr:2025-01-12:0-4:up,up,1056,1072,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-12:4-8:up,up,1072,1088,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-12:8-12:up,up,1088,1104,16.86,1.0,4.0,4.0,0.9833836781609194,66.31939525517241
afrr:2025-01-12:12-16:up,up,1104,1120,16.86,1.0,4.0,4.0,0.9589340020858292,64.67050910066833
afrr:2025-01-12:16-20:up,up,1120,1136,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-12:20-24:up,up,1136,1152,16.86,1.0,4.0,4.0,0.5541948717948719,37.374902153846165
afrr:2025-01-13:0-4:up,up,1152,1168,16.86,1.0,4.0,4.0,0.8314461538461538,56.07272861538461
afrr:2025-01-13:4-8:up,up,1168,1184,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-13:8-12:up,up,1184,1200,16.86,1.0,4.0,4.0,0.9375,63.224999999999994
afrr:2025-01-13:12-16:up,up,1200,1216,16.86,1.0,4.0,4.0,0.9670984806586705,65.22112153562074
afrr:2025-01-13:16-20:up,up,1216,1232,16.86,1.0,4.0,4.0,0.9553727853212528,64.43034064206529
afrr:2025-01-13:20-24:up,up,1232,1248,16.86,1.0,4.0,4.0,0.9563176027522651,64.49405912961275
afrr:2025-01-14:0-4:up,up,1248,1264,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-14:4-8:up,up,1264,1280,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-14:8-12:up,up,1280,1296,16.86,1.0,4.0,4.0,0.98475,66.41154
