period,interval_count,duration_hours,energy_gross_eur,grid_charging_cost_eur,market_energy_net_eur,capacity_revenue_eur,pv_revenue_eur,total_site_revenue_eur,pumped_mwh,turbined_mwh,full_cycles,pv_available_mwh,pv_self_consumed_mwh,pv_exported_mwh,pv_curtailed_mwh,simultaneous_interval_count,simultaneous_overlap_mwh,simultaneous_interval_energy_net_eur
2025-01,2976,744.0,41788.83521706823,13246.669794743157,28542.16542232511,11356.404783696624,786.466994193052,40685.037200214785,328.950400757496,206.47815929043577,46.457585840348045,9.648631585905076,2.406968884355638,7.241662701549433,0.0,361,57.539777604429815,12669.114580057132
2025-02,2688,672.0,36070.58524617503,18413.177319679562,17657.407926495507,9986.986639846671,2201.226859019542,29845.621425361718,238.55748811332515,175.16509154298245,39.41214559717105,21.679781717560807,2.42009103793487,19.259690679625933,0.0,267,37.25488030681257,12115.674217054735
2025-03,2972,743.0,14965.201941230876,-1491.9180476711185,16457.119988901988,3619.6875085956285,2274.2933515313985,22351.100849029015,154.06019652497199,86.90107962145622,19.552742914827647,45.76054467728688,0.9066714790263739,37.10035202999552,7.753521168264995,97,8.07140781636839,4894.298456603079
2025-04,2880,720.0,8635.06024884719,-5247.609374971799,13882.669623818992,2712.425016703573,1875.2050635686633,18470.29970409123,168.08875613106295,51.90025004309829,11.677556259697115,56.94120498350851,0.8108655213807127,35.15385823236484,20.97648122976296,68,3.5409141530157626,3462.296702436739
2025-05,2976,744.0,18914.25642024802,-2897.0830035392987,21811.339423787333,7379.956374716504,1413.4141397953529,30604.70993829919,259.9172859556157,119.38271390069602,26.861110627656604,59.18088927942759,4.507810826992527,29.043561408858167,25.62951704357681,224,27.680766111187495,9118.72519179202
2025-06,2880,720.0,20327.176729818857,809.5687581002024,19517.60797171864,7017.312843895967,1396.476640868462,27931.397456483068,274.71547710395254,118.16954564409575,26.58814776992154,61.091325724410076,5.512637911802295,28.611640914484923,26.967046898122778,233,30.276728872805077,11019.958724674729
2025-07,2976,744.0,17407.164759870233,1061.4411074613756,16345.72365240887,8797.802352520159,3096.510408644975,28240.036413574006,217.47436504499217,139.2872354568393,31.339627977788844,57.062362526042634,2.780002602038705,52.26634542552662,2.016014498477293,123,12.167116923492337,3250.586845626446
2025-08,2976,744.0,14968.812128665797,1514.1876153280718,13454.624513337725,5435.52293968884,1878.6826694907402,20768.830122517305,211.3220762353095,108.9859873544024,24.521847154740538,56.16680182062389,2.549317819533315,41.27259171909866,12.344892281991877,167,20.356015041573635,5455.627006341658
2025-09,2880,720.0,9175.255743884485,-935.2180442537701,10110.47378813827,3889.897010798251,1624.202752117883,15624.573551054404,173.26610417067465,71.37140875952099,16.058566970892223,42.98179689972541,0.8524633330454205,33.170607794072495,8.958725772607451,85,6.15689593543506,2912.4571928145037
2025-10,2980,745.0,10271.869314065654,3379.3486375531256,6892.520676512543,3481.613903600013,1072.130723584628,11446.265303697186,167.38761833430735,72.74260028582941,16.367085064311617,20.140542486646897,1.0923269402678186,17.15298477860325,1.8952307677758375,103,13.415803941789392,3006.3416415530933
2025-11,2880,720.0,2726.9382686348117,-415.206377703667,3142.144646338479,793.8024596217048,1086.6237989878384,5022.570904948022,47.63010698673549,21.995615913794836,4.949013580603838,13.598212512235548,0.0696120875559362,13.528600424679611,0.0,14,0.20301801296616293,547.947927245699
2025-12,2976,744.0,1785.3323467542434,-2.104095638315574,1787.4364423925585,521.6139437807725,883.6073927057367,3192.657778879068,35.39160738975984,14.57681911088671,3.2797842999495095,10.631449161002566,4.814347628935932e-07,10.631448679567804,0.0,1,4.814347628935932e-07,39.6455
