market,case_run_id,revenue_rank,difference_from_highest_eur,interval_count,duration_hours,e_max_mwh,energy_gross_eur,grid_charging_cost_eur,market_energy_net_eur,capacity_revenue_eur,pv_revenue_eur,total_site_revenue_eur,pumped_mwh,turbined_mwh,full_cycles,pv_available_mwh,pv_self_consumed_mwh,pv_exported_mwh,pv_curtailed_mwh,simultaneous_interval_count,simultaneous_overlap_mwh,simultaneous_interval_energy_net_eur
afrr,demo-2025-all-markets-pv500-afrr-05c93fc8b8fb,1,0.0,35040,8760.0,4.444444444444445,197036.48836526347,27435.2542890875,169601.23407617596,64993.02577746477,19588.840794508273,254183.10064814897,2276.761482748203,1186.9565069240375,267.0652140579084,454.8835433743757,23.90876892536837,324.4333447884273,106.54142966058,1743,216.6633252013104,68492.67398619984
da,demo-2025-all-markets-pv500-da-95a81c5b52a3,2,-117777.38340447578,35040,8760.0,4.444444444444445,213357.39055646362,90666.30672064537,122691.08383581825,0.0,13714.633407854953,136405.7172436732,2385.898288652953,1729.116373522027,389.05118404245604,454.8835433743757,171.81647333976207,165.7901008068398,117.27696922777378,6,0.040383519087923085,29.685
mfrr,demo-2025-all-markets-pv500-mfrr-f2e4d0c55ea7,3,-138211.85994105614,35040,8760.0,4.444444444444445,74322.97770725358,14495.255897334675,59827.721809918905,35538.933883236255,20604.585013937678,115971.24070709283,836.3112646819354,247.78592736864033,55.75183365794407,454.8835433743757,7.2987208117805995,341.48347762468256,106.10134493791253,613,51.77628068986395,41901.090335225665
