period,interval_count,duration_hours,energy_gross_eur,grid_charging_cost_eur,market_energy_net_eur,capacity_revenue_eur,pv_revenue_eur,total_site_revenue_eur,pumped_mwh,turbined_mwh,full_cycles,pv_available_mwh,pv_self_consumed_mwh,pv_exported_mwh,pv_curtailed_mwh,simultaneous_interval_count,simultaneous_overlap_mwh,simultaneous_interval_energy_net_eur
2025-01,2976,744.0,18740.908245785908,8229.767600163259,10511.1406456226,3475.1424067231374,909.6221553672815,14895.90520771302,84.63912405718307,62.41119791657175,14.042519531228644,9.648631585905076,1.1942962388724645,8.45433534703261,0.0,152,15.706750626474502,9868.65465934037
2025-02,2688,672.0,16474.28625918019,9070.359199240553,7403.927059939632,3147.5070956458717,2281.3854744553196,12832.819630040824,77.25136013408539,56.81471800701927,12.783311551579336,21.679781717560807,1.6453435064886957,20.034438211072107,0.0,136,15.06340753188492,7591.568565678689
2025-03,2972,743.0,7829.06379481656,769.6859633880415,7059.377831428507,2279.905427623359,2256.0782692509274,11595.361528302794,58.86354117824589,29.491829654675055,6.635661672301887,45.76054467728688,0.7899913461554776,37.37002085893147,7.600532472199959,68,4.107140216703753,4007.11104932795
2025-04,2880,720.0,5739.195864575156,-1371.0042208332939,7110.200085408442,3745.6279554043554,1878.5489684259348,12734.377009238733,100.47906018616979,20.686545210820455,4.654472672434602,56.94120498350851,0.9238923390980206,35.052860095988684,20.964452548421807,65,5.73563705789811,4303.181536259841
2025-05,2976,744.0,4336.403026069475,-2876.604969879301,7213.0079959487875,3591.496765225584,1613.546538702649,12418.051299877021,134.15498473630535,15.821846611779415,3.5599154876503682,59.18088927942759,0.614066759844208,33.134776546549126,25.43204597303422,43,4.327727537684602,2908.5739853626324
2025-06,2880,720.0,7900.245242422362,-1003.5459528099518,8903.79119523232,2838.026585527675,1630.7070650130074,13372.524845773001,136.35979004552522,16.433713815375768,3.6975856084595478,61.091325724410076,0.7274896570342471,33.4428304824446,26.92100558493112,44,3.4140349950373805,6029.45931281805
2025-07,2976,744.0,3057.933125954014,493.9903039153828,2563.9428220386317,2404.0390108995616,3257.920804971561,8225.902637909754,33.14990877565059,10.125371796598012,2.2782086542345525,57.062362526042634,0.35173434798116504,54.69461367958415,2.016014498477293,16,0.35173434798116504,1105.5975
2025-08,2976,744.0,1675.4553790154364,-361.3678591640297,2036.8232381794667,1858.0517243827335,2010.107450193823,5904.982412756023,74.9565916535552,5.839802305051457,1.3139555186365777,56.16680182062389,0.29048836483892604,43.562955093848686,12.313358361936233,15,0.5276077907028927,1059.4874106626698
2025-09,2880,720.0,2078.693524545766,34.6639703835997,2044.0295541621663,2252.466990186337,1663.1713580462012,5959.6679023947045,74.19756472846213,7.759525125981648,1.7458931533458708,42.98179689972541,0.2650526929619923,33.75803947562726,8.958704731136077,26,0.6045009872473734,1706.0004872914194
2025-10,2980,745.0,4335.442955834246,1059.389260576397,3276.0536952578477,3571.9920494015078,1137.6421296706474,7985.687874330003,51.51591505420026,14.739952664396569,3.3164893494892276,20.140542486646897,0.355206355849614,17.890105363021455,1.8952307677758375,33,1.796580535625203,2205.6920581022096
2025-11,2880,720.0,1376.48936225449,288.37473992782293,1088.1146223266671,3190.7256309561812,1086.8080947374756,5365.648348020324,6.368754803149608,4.669117593704169,1.0505514585834381,13.598212512235548,0.10880230389676841,13.48941020833878,0.0,8,0.1088021638650411,664.0137703818333
2025-12,2976,744.0,778.8609268,161.54786242616595,617.3130643738342,3183.952241259917,879.046705102849,4680.3120107366,4.374669329403038,2.992306666666667,0.673269,10.631449161002566,0.03235689875901952,10.599092262243545,0.0,7,0.03235689875901952,451.75
