identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
mfrr:2025-09-24:8-12:up,up,25564,25580,8.684999999999999,1.0,4.0,4.0,0.9407606852893844,32.68202620695321
mfrr:2025-09-24:16-20:up,up,25596,25612,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-24:20-24:up,up,25612,25628,8.684999999999999,1.0,4.0,4.0,0.8750365159175728,30.398768562976475
mfrr:2025-09-25:16-20:up,up,25692,25708,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-25:20-24:up,up,25708,25724,8.684999999999999,1.0,4.0,4.0,0.7945248570119005,27.60179353259342
mfrr:2025-09-26:8-12:up,up,25756,25772,8.684999999999999,1.0,4.0,4.0,0.9263710331788619,32.18212969263366
mfrr:2025-09-26:16-20:up,up,25788,25804,8.684999999999999,1.0,4.0,4.0,0.81415,28.283571
mfrr:2025-09-26:20-24:up,up,25804,25820,8.684999999999999,1.0,4.0,4.0,0.81415,28.283571
mfrr:2025-09-27:8-12:up,up,25852,25868,8.684999999999999,1.0,4.0,4.0,0.81415,28.283571
mfrr:2025-09-27:16-20:up,up,25884,25900,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-28:8-12:up,up,25948,25964,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-28:16-20:up,up,25980,25996,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-28:20-24:up,up,25996,26012,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-29:4-8:up,up,26028,26044,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-29:8-12:up,up,26044,26060,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-29:12-16:up,up,26060,26076,8.684999999999999,1.0,4.0,4.0,0.9445195841218151,32.81261035239185
mfrr:2025-09-29:16-20:up,up,26076,26092,8.684999999999999,1.0,4.0,4.0,0.9445195841218151,32.81261035239185
mfrr:2025-09-29:20-24:up,up,26092,26108,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-30:4-8:up,up,26124,26140,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-30:8-12:up,up,26140,26156,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-30:12-16:up,up,26156,26172,8.684999999999999,1.0,4.0,4.0,0.8189929466083418,28.45181496517379
mfrr:2025-09-30:16-20:up,up,26172,26188,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-09-30:20-24:up,up,26188,26204,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-01:4-8:up,up,26220,26236,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-01:8-12:up,up,26236,26252,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-01:12-16:up,up,26252,26268,8.684999999999999,1.0,4.0,4.0,0.9222881221961783,32.04028936509523
mfrr:2025-10-01:16-20:up,up,26268,26284,8.684999999999999,1.0,4.0,4.0,0.9559000000000001,33.207966
mfrr:2025-10-01:20-24:up,up,26284,26300,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-02:4-8:up,up,26316,26332,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-02:8-12:up,up,26332,26348,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-02:12-16:up,up,26348,26364,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-02:16-20:up,up,26364,26380,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-02:20-24:up,up,26380,26396,8.684999999999999,1.0,4.0,4.0,0.9386680920286045,32.60932951707371
mfrr:2025-10-04:0-4:up,up,26492,26508,8.684999999999999,1.0,4.0,4.0,0.9827680920286044,34.141363517073714
mfrr:2025-10-04:4-8:up,up,26508,26524,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-04:8-12:up,up,26524,26540,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-04:12-16:up,up,26540,26556,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-04:16-20:up,up,26556,26572,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-04:20-24:up,up,26572,26588,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-05:4-8:up,up,26604,26620,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-05:8-12:up,up,26620,26636,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-05:12-16:up,up,26636,26652,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-05:16-20:up,up,26652,26668,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-05:20-24:up,up,26668,26684,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-06:8-12:up,up,26716,26732,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-06:12-16:up,up,26732,26748,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-06:16-20:up,up,26748,26764,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-06:20-24:up,up,26764,26780,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-07:4-8:up,up,26796,26812,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-07:8-12:up,up,26812,26828,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-07:12-16:up,up,26828,26844,8.684999999999999,1.0,4.0,4.0,0.6972277935621919,24.221693548350544
mfrr:2025-10-07:16-20:up,up,26844,26860,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-07:20-24:up,up,26860,26876,8.684999999999999,1.0,4.0,4.0,0.8750000704941078,30.397502448965298
mfrr:2025-10-08:4-8:up,up,26892,26908,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-08:8-12:up,up,26908,26924,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-08:16-20:up,up,26940,26956,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-08:20-24:up,up,26956,26972,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-09:4-8:up,up,26988,27004,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-09:8-12:up,up,27004,27020,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-09:16-20:up,up,27036,27052,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-09:20-24:up,up,27052,27068,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-10:4-8:up,up,27084,27100,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-10:8-12:up,up,27100,27116,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-10:16-20:up,up,27132,27148,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-10:20-24:up,up,27148,27164,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-10-11:8-12:up,up,27196,27212,8.684999999999999,1.0,4.0,4.0,0.8203125000000001,28.49765625
mfrr:2025-10-11:16-20:up,up,27228,27244,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-11:20-24:up,up,27244,27260,8.684999999999999,1.0,4.0,4.0,0.8125000000000001,28.22625
mfrr:2025-10-12:8-12:up,up,27292,27308,8.684999999999999,1.0,4.0,4.0,0.8125000000000001,28.22625
mfrr:2025-10-12:16-20:up,up,27324,27340,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-12:20-24:up,up,27340,27356,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-10-13:8-12:up,up,27388,27404,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-13:12-16:up,up,27404,27420,8.684999999999999,1.0,4.0,4.0,0.8761647783999287,30.437964401613517
mfrr:2025-10-13:16-20:up,up,27420,27436,8.684999999999999,1.0,4.0,4.0,0.9849794027000088,34.2181844497983
mfrr:2025-10-13:20-24:up,up,27436,27452,8.684999999999999,1.0,4.0,4.0,0.5690715113187462,19.76954430321324
mfrr:2025-10-14:8-12:up,up,27484,27500,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-14:12-16:up,up,27500,27516,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-14:16-20:up,up,27516,27532,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-14:20-24:up,up,27532,27548,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-15:4-8:up,up,27564,27580,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-15:8-12:up,up,27580,27596,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-15:12-16:up,up,27596,27612,8.684999999999999,1.0,4.0,4.0,0.8800459043509051,30.57279471715044
mfrr:2025-10-15:16-20:up,up,27612,27628,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-15:20-24:up,up,27628,27644,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-10-16:8-12:up,up,27676,27692,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-16:12-16:up,up,27692,27708,8.684999999999999,1.0,4.0,4.0,0.9495307436776981,32.986698035363226
mfrr:2025-10-16:16-20:up,up,27708,27724,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-16:20-24:up,up,27724,27740,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-10-17:8-12:up,up,27772,27788,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-17:12-16:up,up,27788,27804,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-17:16-20:up,up,27804,27820,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
